code,name,city,lat,lon
DAB,DAYTONA BEACH INTL,DAYTONA BEACH,29.1797,-81.0581
FLL,FORT LAUDERDALE/HOLLYWOOD INTL,FORT LAUDERDALE,26.0717,-80.1494
GNV,GAINESVILLE RGNL,GAINESVILLE,29.6900,-82.2717
JAX,JACKSONVILLE INTL,JACKSONVILLE,30.4939,-81.6878
EYW,KEY WEST INTL,KEY WEST,24.5561,-81.7594
LAL,LAKELAND LINDER RGNL,LAKELAND,27.9889,-82.0183
MLB,MELBOURNE INTL,MELBOURNE,28.1025,-80.6450
MIA,MIAMI INTL,MIAMI,25.7953,-80.2900
APF,NAPLES MUNI,NAPLES,26.1522,-81.7756
SGJ,NORTHEAST FLORIDA RGNL,ST AUGUSTINE,29.9592,-81.3397
ECP,NORTHWEST FLORIDA BEACHES INTL,PANAMA CITY,30.3581,-85.7956
OCF,OCALA INTL-JIM TAYLOR FIELD,OCALA,29.1717,-82.2239
MCO,ORLANDO INTL,ORLANDO,28.4292,-81.3089
SFB,ORLANDO SANFORD INTL,ORLANDO,28.7769,-81.2347
PBI,PALM BEACH INTL,WEST PALM BEACH,26.6831,-80.0956
PNS,PENSACOLA INTL,PENSACOLA,30.4733,-87.1864
PGD,PUNTA GORDA,PUNTA GORDA,26.9189,-81.9908
SRQ,SARASOTA/BRADENTON INTL,SARASOTA/BRADENTON,27.3953,-82.5542
RSW,SOUTHWEST FLORIDA INTL,FORT MYERS,26.5361,-81.7550
TIX,SPACE COAST RGNL,TITUSVILLE,28.5147,-80.7992
PIE,ST PETE-CLEARWATER INTL,ST PETERSBURG-CLEARWATER,27.9086,-82.6864
TLH,TALLAHASSEE INTL,TALLAHASSEE,30.3967,-84.3508
TPA,TAMPA INTL,TAMPA,27.9753,-82.5331
MTH,THE FLORIDA KEYS MARATHON INTL,MARATHON,24.7261,-81.0511
VRB,VERO BEACH MUNI,VERO BEACH,27.6556,-80.4178,
